question,answer,A,B,C,D
Which vegetables are considered taboo food in Buddhist tradition?,Garlic and onion,All legumes,Garlic and onion,Eggplants and tomatoes,Cabbage and lettuce
Is this the correct usage of the word inferring? ,No,No,Yes,,
Is this the correct usage of the word continually? ,No,No,Yes,,
Which of these sentences is correct?,Whence did he come?,"From hence to eternity, I will search.",Whence did he come?,From whence did he come?,"If you build it, thence he will come."
Which of these is correct?,The capitol building is located in the capital.,The capitol building is located in the capitol.,The capital building is located in the capital.,The capitol building is located in the capital.,The capital building is located in the capitol.
"In the following sentence, which word is incorrect?  ",None of the words is incorrect; the sentence is correct as is.,principal,unprincipled,principle,None of the words is incorrect; the sentence is correct as is.
Which of the following is NOT a synonym of the word reticent?,These are all synonyms of the word reticent.,These are all synonyms of the word reticent.,Restrained,Silent,Reluctant
Which of the following is incorrect?,These are all correct usages of the word comprised.,The class comprised 30 people.,Thirty people comprised the class.,These are all correct usages of the word comprised.,The class was comprised of 30 people.
Which of these is incorrect?,All of these sentences are correct.,He woke up at six.,All of these sentences are correct.,He awoke at six.,He awakened at six.
Which of these sentences means I love you in Spanish?,Te amo.,Te amo.,Kocham cie.,Mi amas vin.,Ti amo.
Rakastan sinua is one of the ways to say I love you in which European language?,Finnish,Bulgarian,French,Finnish,German
Which expression would you use to say I love you in Danish?,Jeg elsker dig.,Jeg elsker dig.,Volim te.,I love thee.,Je taime.
In what European language does Je taime mean I love you?,French,Swedish,Italian,German,French
Which of the following sentences means I love you in German?,Ich liebe Dich.,Ich liebe Dich.,Te amo.,Volim te.,Je taime.
Volim te means I love you in three of these European languages. Which is the odd one?,Italian,Croatian,Bosnian,Italian,Serbian
What is the Swahili expression for I love you?,Nakupenda,Te quiero,Nakupenda,Ti amo,Je taime
In which Turkic language does Seni seviyorum mean I love you?,Turkish,Navajo,Hebrew,Icelandic,Turkish
"Name this artificially-constructed international language, in which Mi amas vin means I love you.",Esperanto,Thai,Navajo,Spanish,Esperanto
Which of these sentences means I love you in Dutch?,Ik hou van jou.,Ti amo.,Ik hou van jou.,Ne mohotatse.,Ich liebe Dich.
"The implement, used to extinguish the flame of a candle, is called this.",Candlesnuffer,Candleberry,Candleholder,Candlestick,Candlesnuffer
"When something contains or yields an acid, it is this.",Acidiferous,Acidiferous,Acidophilous,Acidimetric,Acidifiable
"The monitoring, recording, and measuring of a living organisms basic physiological functions is known as this.",Biotelemetry,Biomedicine,Bipartisanism,Biosystematy,Biotelemetry
Enterokinase is this.,Enzyme,Disease,Medical condition,Enzyme,Hormone
Copious perspiration is known as this.,Diaphoresis,Diaphoresis,Deuterogamy,Detumescence,Diabolisation
Gerontology is the branch of medical science that deals with diseases and problems specific to these people.,Elderly,Adults,Elderly,Blind people,Children
