question,answer,A,B,C,D
Greta Garbo was successfully treated for this disease.,Breast cancer,Tuberculosis,Breast cancer,Hepatitis,Cirrhosis
"In 1952, A.S. Douglas developed the first graphical game to run on a computer.  It ran on the EDSAC.  What was the name of this game?",OXO,Go,Check It,OXO,Tennis For Two
Nolan Bushnell is considered to be the father of the video arcade industry. In 1972 he founded his own game company and together with Ted Dabney and Al Alcorn released the first arcade video game with major success- Pong. What was the name of his company?,Atari,Nutting Associates,Nintendo,Sega,Atari
In 1972 a company named Waco released the first handheld electronic game. What was its name?,Tic Tac Toe,Cross,Tic Tac Toe,Tetris,Microvision
In 1978 Taito released one of the most influential arcade video games. It was called Space Invaders and marked the beginning of the Golden Age of arcade games. What was the thing that the player controlled in Space Invaders?,A movable laser cannon,An alien,An anti-aircraft gun,A movable laser cannon,A cowboy
"Nintendo is undoubtedly one of the most successful and best known console manufacturers. Nintendo has created several TV consoles and many handheld portables, such as the Game Boy and the Game  Watch. When was the company originally founded?",1889,1953,1985,1983,1889
"With the introduction of cheap and relatively powerful processors such as Intel 386, Intel 486 and Motorola 68000 3D-graphics became fashionable. It was used in FPS games like the legendary Wolfenstein 3D and Doom. Do you know what FPS stands for in this context?",First Person Shooter,Frames Per Second,File Protocol System,Firing Per Second,First Person Shooter
"When in 1996 3dfx released the Voodoo chipset, it made high-resolution and more-detailed 3D games possible. One of the first games to take advantage of this was Quake. Do you know which company released this marvelous game?",id Software,Microsoft,Valve,id Software,Blizzard
"These fictional superheroes were born, when a container of radioactive waste bounced off a truck and struck a young boy, turning him into Daredevil.",Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,Pre-teen Dirty Jean Kung-fu Kangaroos,Adolescent Radioactive Blackbelt Hamsters,Miami Mice
"This superhero, who first appeared in the comic book Tales of Suspense, used his own invention to keep his heart pumping.",Iron Man,Mr. Fantastic,Ant Man,Iron Man,The Hulk
"This Marvel Comics superhero, whose birth name was Peter Benjamin Parker, first used his new found superpowers as a professional wrestler.",Spiderman,Superman,Spiderman,The Thing,Green Arrow
"This comedic superhero, created by Ben Edlund, met an accountant named Arthur, after taking a long bus ride into The City.",The Tick,The Tick,Thor,The Shadow,Darkman
These comic book superheroes were trained in Professor Xaviers School for Gifted Youngsters.,The X-Men,The Fantastic Four,The X-Men,Power Pack,The Avengers
"Which Marvel Comics character became a ruthless vigilante, after witnessing his familys violent murder?",The Punisher,The Crow,The Punisher,Judge Dredd,The Scourge
"This DC Comics superhero, whose true identity is Bruce Wayne, decided to train himself to the peak of physical perfection after witnessing the murder of his parents.",Batman,V (For Vendetta),Batman,The Hulk,Spawn
Which fictional member ot the Teen Titans started out as Batmans sidekick?,Nightwing,Beast Boy,Cyborg,Raven,Nightwing
Fellow Justice League members Superman and Martian Manhunter have something in common. What is it?,They are both aliens.,They are both reporters by day,They both grew up on a farm.,They both escaped from the phantom zone.,They are both aliens.
Which of the following fictional heroes is a World War II veteran?,Captain America,Batman,Captain America,Captain Commando,Thor
What is the real name of Gambit who first appeared in the comic book The Uncanny X-Men?,Remy LeBeau,Remy LeBeau,Bobby LeBeau,Scott Summers,Alex Summers
Which of these X-Men characters is not a member of the Summers family line?,Mister Sinister,Cyclops,Mister Sinister,Havoc,Cable
"Archangel, a mutant and a member of the X-Men, was which horseman of Apocalypse?",Death,Death,Famine,Pestilence,War
Which antagonist of the X-Men is responsible for the death of Wolverine in the comic books?,Magneto,Juggarnaut,Sabretooth,Magneto,Lady Deathstrike
Which of these X-men characters is not a mutant?,Juggernaut,Charles Xavier,Gambit,Juggernaut,Storm
"In the Age of Apocalypse timeline, Wolverine, a member of the X-Men, is married to which female?",Storm,Storm,Polaris,Jean Grey,Jubilee
Who is the head of the X-Men in the Age of Apocalypse timeline?,Magneto,Magneto,Apocalypse,Charles Xavier,Cyclops
"Omega Red, a foe of the X-Men, serves which country?",Russia,Germany,Russia,The United States,Japan
What is the real name of X-Men member Wolverine?,James Howlett,Victor Creed,James Howlett,Mikhail Rasputin,Logan
"This member of the Hellfire Clubs inner circle, known as the White Queen, once fought against the X-Men.",Emma Frost,Emma Frost,Jean Grey,Calypso,Phoenix
When was the Miss America pageant first held?,"September 7, 1921","July 6, 1920","July 4, 1919","September 5, 1925","September 7, 1921"
"The most common talents performed are singing and dancing, but there have been a variety of other odd talents as well.  Which talent was performed at a Miss America pageant?",Packing a suitcase,Blowing bubbles through a straw,Self-defense,Gymnastic moves,Packing a suitcase
Who was the first Jewish Miss America?,Bess Myerson,Marion Bergeron,Norma Smallwood,Bess Myerson,Marilyn Buferd
"As of the beginning of the new millenium, how many Miss America title holders were from New Jersey, the state that held the competitions?",2,2,6,4,0
Who was the first deaf Miss America?,Heather Whitestone,Rebecca Ann King,Phyllis Ann George,Cheryl Prewitt,Heather Whitestone
"Until 2004 ABC aired the Miss America pageant , it then switched to what station?",CMT,NBC,CBS,CMT,USA
In what year did Snoopy first make his first appearance in a comic strip?,1950,1948,1952,1954,1950
What name was Charles Schulz originally going to give to Charlie Browns dog Snoopy?,Sniffy,Sneaky,Snookums,Sniffy,Sneakers
What position did cartoon character Snoopy play in Charlie Browns Little League baseball team?,Short Stop,Pitcher,Catcher,First base,Short Stop
In what year did comic strip character Snoopy first appear sleeping on top of his doghouse?,1958,1953,1958,1956,1954
In what year did comic strip character Snoopy first walk upright?,1956,1960,1962,1958,1956
Which one of these pairs roller coaster- theme park is wrong?,Avalanche- Holiday World,Megafobia- Oakwood Leisure Park,Superman - Ride of Steel- Six Flags Darien Lake,Avalanche- Holiday World,Dania Beach Hurricane- Boomers
Which one of these pairs roller coaster- year of opening is wrong?,Nitro- 2000,Kraken- 2000,Megafobia- 1996,Nitro- 2000,Ozark Wildcat- 2003
October 2006 saw the release of which Mortal Kombat game?,12th,10th,8th,12th,9th
"In the Mortal Kombat storyline, Liu Kang was brutally murdered by which character?",Shang Tsung,Shang Tsung,Goro,Shao Kahn,Kung Lao
What feature makes Kenshi different from all other Mortal Kombat characters?,He is blind.,He can fly.,He is a mute.,He is blind.,He is deaf.
How does Calvins dad like to spend his vacation in the comic strip Calvin and Hobbes,Going Camping,Going Camping,Going Sightseeing,Going to the Beach,Going Hiking
What does comic strip character Calvin like to do during recess?,None of these,Play Baseball,None of these,Play Hide-and-Seek,Play Tag
Which of these is NOT the name of one of the Calvin and Hobbes books?,The Conclusive Calvin and Hobbes,The Authoritative Calvin and Hobbes,The Indispensable Calvin and Hobbes,The Conclusive Calvin and Hobbes,The Essential Calvin and Hobbes
Which of the following words is not part of the title of Calvins favorite book in the Calvin and Hobbes comic strip?,Louis,Hamster,Kablooie,Huey,Louis
SeaWorld has an official airline and one of its Boeing 737 jetliners is painted to look like a flying Killer Whale. Name this airline.,Southwest,U.S Air,Delta,Southwest,Jetblue
In what year did SeaWorld Orlando open?,1973,1965,1973,1968,1970
Which of these creatures is not featured in the exhibit of the world famous SeaWorld attraction Wild Arctic?,Penguin,Beluga Whale,Polar Bear,Walrus,Penguin
What SeaWorld attraction allows you to walk through a tube in which sharks swim all around you?,Shark Encounter,Sharktastic!,Mission: Shark,Shark Adventure,Shark Encounter
What is the name of the SeaWorld Orlando amusement ride that is a combination of a water ride and a roller coaster?,Journey to Atlantis,The Lost City of Atlantis,Atlantis the Lost Continent,Journey to Atlantis,Atlantis: The Lost World
What are the names of the four theme parks that make up Disney World?,"Magic Kingdom, Epcot, Animal Kingdom, Disney Hollywood Studios","Magic Kingdom, Epcot, Animal Kingdom, Disney Hollywood Studios","Universal Studies, Animal Safari,  Epcot","Cedar Point, Holiday World, Magic Kingdom, Wilderness Park","Walt Disney World, Sea World, Busch Gardens, Circus World"
How many acres did Walt Disney purchase for Disney World to be built on?,"27,400","25,000","12,500","11,950","27,400"
What is the main icon of the Magic Kingdom park?,Cinderellas Castle,Cinderellas Castle,Cinderellas Stagecoach,Spaceship Earth,The Tree of Life
"What is the title, given to employees at Disney World?",Cast Members,Disney Friends,Directors,Mickey Mouse Helpers,Cast Members
Which of the following statements is a true fact about Disney World?,All of the above.,"There is a tree farm on the Disney property, so that when a tree in one of the parks dies, it can be replaced by another mature tree.",All of the above.,The streets of Disney are steam cleaned every night after the parks close.,Gold leaf paint is used to paint the carousel horses.
How many resorts are there on the Disney World property?,32,35,32,17,24
