question,answer,A,B,C,D
Iago is the antagonist of which play by William Shakespeare?,Othello,,,,
One of Johnny Depps earliest film roles was as Gator Lerner in what 1986 movie?,Platoon,The Color of Money,Platoon,Top Gun,Aliens
"Which of these Tim Burton films, starring Johnny Depp, came first?",Edward Scissorhands,Charlie and the Chocolate Factory,Ed Wood,Sleepy Hollow,Edward Scissorhands
"This Scottish author, portrayed by Johnny Depp in the movie Finding Neverland, created the fictional character Peter Pan.",James Barrie,John Dunne,George Eliot,Joseph Grimm,James Barrie
"In the 2001 movie Blow, Johny Depps role is based on the real life story of his character.",True,True,False,,
What is the first name of Johnny Depps character in the 2004 film Secret Window?,Mort,Tom,Alan,Lou,Mort
Johnny Depp played the role of Inspector Fred Abberline in what 2001 film?,From Hell,From Hell,Nick of Time,Chocolat,The Astronauts Wife
"Johnny Depp publicly stated that he, in part, had based his portrayal of Captain Jack Sparrow in Pirates of the Caribbean: The Curse of the Black Pearl on which musician?",Keith Richards,Jim Morrison,Ozzy Osbourne,Mick Jagger,Keith Richards
"In the 1993 movie Whats Eating Gilbert Grape, Gilbert Grape is the name of the character played by Johnny Depp.",True,False,True,,
When was Elvis born?,"January 8, 1935","January 8, 1935","January 8, 1977","August 16, 1935","August 8, 1977"
Who were Elviss parents?,Gladys and Vernon,Billy and Joseph,Gladys and Vernon,Lisa Marie and Vernon,Priscilla and Dee
What is Elviss mansion called?,Graceland,Neverland,Swampland,Kingstown,Graceland
What town was Elvis born in?,Tupelo,Branson,Memphis,Tupelo,Nashville
He played Nicholas Bradford on the ultra popular 70s sitcom Eight is Enough.,Adam Rich,Adam Rich,Jason Bateman,Meeno Peluce,Danny Pintauro
Rapper turned actor Will Smith married this actress in 1997.,Jada Pinkett,Brandy Norwood,Nia Long,Jada Pinkett,Shia LeBeouf
Former tennis great Steffi Graf married this former tennis great in 2001.,Andre Agassi,John McEnroe,Boris Becker,Andre Agassi,Jimmy Connors
"In 1997, Actor Matthew Broderick married this Sex and the City star.",Sarah Jessica Parker,Kristen Davis,Sarah Jessica Parker,Cynthia Nixon,Kim Catrall
What famous actor did Catherine Zeta Jones marry in 2000?,Michael Douglas,Kirk Douglas,Michael Douglas,Jeff Bridges,Lloyd Bridges
Actor James Brolin married this famous singer in 1998.,Barbra Streisand,Aretha Franklin,Barbra Streisand,Bette Midler,Maria Muldaur
Singer Jennifer Lopez married this famous singer in 2004.,Mark Anthony,Dave Grohl,Enrique Iglesias,Gavin Rossdale,Mark Anthony
Actor Ben Stiller married this actress in 2000.,Christine Taylor,Pam Anderson,Nikki Taylor,Christine Taylor,Heather Graham
"In 2002, pop diva Gwen Stefani married the former lead singer of the band Bush. What is the name of Stefanis significant other?",Gavin Rossdale,Ross Gavindale,Nigel Pulsford,Gavin Rossdale,Chris Traynor
What actor did Demi Moore marry in 2005?,Ashton Kutcher,Ashton Kutcher,Bruce Willis,Brendan Fraser,Patrick Dempsey
"In 2005, actress Jennifer Garner married this Hollywood movie star.",Ben Affleck,Matt Houston,Matt Damon,Ben Affleck,John Stamos
"This actor made his film debut in Rubberface and followed it with appearances in Copper Mountain, Once Bitten and Peggy Sue Got Married before he hit the big time.",Jim Carrey,Dean Cain,Jim Carrey,Matt Dillon,Alan Cumming
This American actor played the roles of Mr. Big in the 007 film Live and Let Die and Parker in the hit Sci-Fi movie Alien.  He later starred in the TV show Homicide: Life on the Street.,Yaphet Kotto,Yaphet Kotto,Nicholas Downs,Dana Carvey,George Chakiris
This British actor is the eldest of a pair of twins and who played George Weasley in the Harry Potter series of films.,Oliver Phelps,Yaphet Kotto,Sean Astin,Samuel Sarpong,Oliver Phelps
This American actor was one of the child stars of The Goonies and also played a brave and helpful hobbit in Lord Of The Rings.,Sean Astin,Orlando Bloom,Garrett Hedlund,Sean Astin,Norman Reedus
"This American actor has received two Academy Award nominations for Best Actor in a Leading Role, winning it once for his portrayal of a suicidal alcoholic in Leaving Las Vegas.",Nicholas Cage,Steve Buscemi,Nicholas Cage,Macaulay Culkin,Danny Glover
"This British actor came to fame playing a drug addict in Trainspotting and has appeared in a variety of independent and blockbuster movies, including the recent Star Wars films.",Ewan McGregor,Ian McKellen,Ryan Reynolds,Norman Wisdom,Ewan McGregor
"This American is an actor, producer, director and general philanthropist.  He is responsible for setting up the Sundance Independent Film Festival.",Robert Redford,Stephen Dorff,Matthew Broderick,Nick Nolte,Robert Redford
"This British actor is mainly known for his portrayal of a schoolboy wizard, but has also appeared on stage naked!",Daniel Radcliffe,Frank Converse,Kenneth Branagh,Ewan McGregor,Daniel Radcliffe
"This versatile young actor has played a diverse range of characters in films, but is known best as a heroic little hobbit in Peter Jacksons blockbuster trilogy of Lord Of The Rings.",Elijah Wood,Haley Joel Osment,Elijah Wood,Ryan Reynolds,Edward Speleers
This British actor is probably best known for playing the villain Blofeld in the James Bond series of films and Dr. Loomis in the Halloween movies.,Donald Pleasence,Stuart Townsend,Samuel West,Donald Pleasence,Tom Baker
"Which actor, who played Legolas in The Lord of the Rings trilogy, was born on January 13, 1977?",Orlando Bloom,Elijah Wood,Sean Astin,Orlando Bloom,Viggo Mortensen
"What more than 10-time Grammy Award winning pop singer was born on February 2, 1977.",Shakira,Nelly Furtado,Pink,Mya,Shakira
"This actress, who starred in the movie I Know What You Did Last Summer, was born on April 14, 1977. What is her name?",Sarah Michelle Gellar,Rachael Leigh Cook,Jennifer Love Hewitt,Sarah Michelle Gellar,Brandy
"Which singer, born on January 28, 1977, was a member of the popular boy-band N Sync?",Joey Fatone,Joey Fatone,Lance Bass,Nick Carter,Justin Timberlake
"This actor, who is also an animal rights activist, was born on August 2, 1977. He was arrested in Kentucky for attempting to free lobsters from a grocery store.",Edward Furlong,Chris Klein,Macaulay Culkin,Edward Norton,Edward Furlong
What instrument did Louis Armstrong play?,Trumpet,Saxophone,Trumpet,Clarinet,Violin
What instrument did jazz musician Benny Goodman play?,Clarinet,Drums,Flute,Clarinet,Saxophone
Prince can play the drums.,True,False,True,,
"Matt Cameron, who has been a member of Soundgarden and Pearl Jam, plays what instrument?",Drums,Keyboards,Drums,Bass,Guitar
Bobby Militello of The Dave Brubeck Quartet plays the piano.,False,False,True,,
"Adam Yauch, one of the founding members of the Beastie Boys, plays which of the following instruments?",Bass,Turntable,Bass,Keyboards,Guitar
Buddy Guy played a Fender Stratocaster.,True,True,False,,
"David Bowie plays many instruments, which of the below does he also play?",Cello,French Horn,Cello,Flute,Bass
Nick Rhodes from Duran Duran plays what instrument?,Keyboards,Keyboards,Tuba,Symbols,Drums
What is the middle name of John Stamos?,Phillip,Jesse,Ronald,Roy,Phillip
Actor John Stamos didnt play in which one of these shows?,Different Strokes,Full House,General Hospital,Different Strokes,ER
John Stamos original family name was Stamotopoulos.,True,False,True,,
"John Stamos dated singer and American Idol judge, Paula Abdul.",Yes,No,Yes,,
Was John Stamos cast in the role of the main character Jake in Jake in Progress?,Yes,Yes,No,,
The TV sitcom Fullhouse ran on ABC for how many seasons?,8,1,6,8,11
"John Stamos was born in Cypress, California on what date?","August, 19","August, 2","August, 19","July, 11","August, 12"
Did Rebecca Romijn and John Stamos divorce in 2005?,Yes,Yes,No,,
John Stamos appeared in an episode of Friends.,True,True,False,,
"The song A Day in the Life, from the Beatles Sgt. Peppers album, contains a Paul McCartney death clue that supposedly reveals what?",The manner of Pauls death,Pauls age when he died,Who took Pauls place in the band,The manner of Pauls death,Why Pauls death was kept a secret
"Who took Paul McCartneys place in the Beatles, according to a death clue in the song Sgt. Peppers Lonely Hearts Club Band on the album of the same name?",Billy Shears,Mr. Kite,Sgt. Pepper,Billy Shears,An unnamed replacement
"The Paul is dead myth holds that Paul McCartney died on November 9, 1966.  Which of the following is not a clue suggesting that date?",The Beatles had released nine albums by the time Paul supposedly died.,"The bass drum on the Sgt. Peppers album cover has a hidden message, visible by holding a mirror through the middle of the drum, indicating 11/9.","The lyrics of Shes Leaving Home include the line, Wednesday morning at five oclock, and November 9, 1966, was a Wednesday.",The repetition of number nine in the song Revolution 9 means November nine.,The Beatles had released nine albums by the time Paul supposedly died.
"Richard Kiel, who is 72 tall, remains best known for which role in the James Bond movies?",Jaws,Jaws,Mr. Kidd,Largo,Mister Big
Sean Connery was placed third in the tall mans division of 1953 Mr. Universe Bodybuilding Contest.,True,True,False,,
"Which of the following James Bond movies, starring Sean Connery, was released first?",Dr. No,Thunderball,Never Say Never Again,From Russia with Love,Dr. No
What of these was the last movie Sean Connery made?,The League of Extraordinary Gentlemen,Finding Forrester,The League of Extraordinary Gentlemen,First Knight,The Avengers
Sean Connery was offered a role in The Matrix but turned it down.,True,True,False,,
Sean Connery has done voice-over work in a video game.,True,True,False,,
Sean Connery got tattoos while he was in the Navy.,True,False,True,,
Why was Sean Connerys service in the Navy shortened?,stomach ulcer,Bad conduct,none of the above,injury to his back,stomach ulcer
"This actor gave his voice to the popular animated cartoon cat Garfield. He was also known as the voice of Carlton, the doorman on the television comedy Rhoda, a spin-off of the Mary Tyler More Show.",Lorenzo Music,Lorenzo Music,Billy Gilbert,Ernie Sabella,Peter Falk
"An elephant in Dumbo, the Queen of Hearts in Alice in Wonderland, and Flora in Sleeping Beauty were some of the best roles of this voice actress.",Verna Felton,Edith Head,Nancy Cartwright,Lucille La Verne,Verna Felton
"You remember this actress voice from Mulan (Grandmother Fa), Cinderella (Lucifer the Cat) and The Smurfs (Jokey Smurf and Mother Nature). She was also Granny, the owner of Tweety and Sylvester the cat.",June Foray,Adriana Caselotti,Mary K. Bergman,Shaaron Claridge,June Foray
"Which of these characters was voiced by Adriana Caselotti, an Italian-American actress of a musical family?",Snow White,Roger Rabbit,Snow White,The Little Mermaid,Cinderella
