question,answer,A,B,C,D
"When Captain Americas original sidekick was wounded in combat, who replaced him?",Golden Girl,,,,
In how many provinces is the Dominican Republic divided?,31,31,21,None of these,11
"#10 on the list of highest-grossing films is this Disney animated feature film, which came out in 1937 and earned $1,746,100,000.",Snow White and the Seven Dwarfs,Fantasia 2000,101 Dalmatians,The Three Caballeros,Snow White and the Seven Dwarfs
"# 9 on the list of highest-grossing films is this 1975 film that earned $1,945,100,000 and scared the pants off most of the audience. In fact, people swimming in the ocean dropped that year.",Jaws,Jaws 2,Jaws 3-D,Jaws,Great White
"#8 on the list of highest-grossing films is a 1965 film about the Russian Revolution in 1917-1918 and grossed $1,988,600,000.",Doctor Zhivago,Reds,October: Ten Days That Shook the World,Doctor Zhivago,Anastasia
"#7 on the list of highest-grossing films was this 1956 religious film starring Charlton Heston. It grossed $2,098,600,000.",The Ten Commandments,Samson and Delilah,The Ten Commandments,The Prince of Egypt,Ben-Hur
"#6 on the list of highest-grossing films is a 1982 sci-fi movie by Steven Spielberg, which grossed $2,216,800,000.",E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,Blade Runner,The Thing,Star Trek II: The Wrath of Khan
"#5 on the list of highest-grossing films is a musical which takes place in Austria. It was made in 1965 and grossed $2,269,800,000. Sing the scales for me on a hill top.",The Sound of Music,Help!,The Great Race,The Sound of Music,Beach Blanket Bingo
"#4 on the list of highest-grossing films is based on a real event. It was made in 1997 and grossed $2,413,800,000. It will leave your heart sinking in the end but Im sure it will go on.",Titanic,The Poseidon Adventure,The Hunt for Red October,Titanic,The Abyss
"#3 on the list of highest-grossing films is this 1977 sci-fi movie thats had so many sequels and prequels, Ive lost count. It grossed $2,710,800,000.",Star Wars,The Incredible Hulk,Star Wars,The Island of Dr. Moreau,Close Encounters of the Third Kind
"#2 on the list of highest-grossing films is the only one from the 21st century. It features weird colorful figures. It grossed $2,782,300,000.",Avatar,The Twilight Saga: Breaking Dawn Part I,Avatar,"Harry Potter and the Deathly Hallows, Part II",Transformers: Dark of the Moon
"#1 on the list of highest-grossing films is about the American South. It grossed $3,301,400,000.",Gone With the Wind,Ben-Hur,Gone With the Wind,Cleopatra,All Quiet on the Western Front
This 1973 horror film was the second of many devilish movies.,The Exorcist,The Omen,The Exorcist,Rosemarys Baby,The Exorcism of Emily Rose
"What movie title was translated in Mexico as title Grow, Run and Stumble?",Juno,Rachel Getting Married,Juno,Four Friends,All or Nothing
In Spain this movie title was translated as Pigs And Diamonds.,Snatch,Donnie Brasco,Snatch,Unforgiven,Marathon Man
To the Devil with the Devil is the Mexican title of this movie.,Bedazzled,Ghost Busters,Dogma,The Witches of Eastwick,Bedazzled
What movie title was translated in Mexico as Dumb But Not That Dumb?,Billy Madison,Besieged,Billy Madison,The Butterfly Effect,The Station Agent
What movie title was translated in Italy as Four Bastards for a Room in Hell?,Shark!,The Order,Horror,Hellboy,Shark!
No Rules in Love is the Italian title of this movie.,Leatherheads,Offside,Dear Frankie,The Blind Side,Leatherheads
The Secret Is In the Sauce is the French title of this movie.,Fried Green Tomatoes,Waitress,Fried Green Tomatoes,Paul Blart: Mall Cop,Cure
The Teeth From the Sea is the French title of this movie.,Jaws,Jaws,Shark in Venice,The Reef,Open Water
This war movie is titled Voyage to the End of Hell in France.,The Deer Hunter,Sealed Cargo,The Deer Hunter,Voyage of the Damned,A Tale of Five Cities
What movie was titled Sexy Dance in France?,Step Up,Delhi Belly,Step Up,Billy Elliot,Biloxi Blues
A Supertough Kangaroo is the Spanish title of this movie.,The Pacifier,Chocolat,Mogambo,The Pacifier,Crocodile Dundee
Breaking the Ice is the Spanish title of this movie.,Happy Feet,The Incredibles,Happy Feet,The Last Airbender,The Golden Compass
Airport Attack is the Portuguese title of this movie.,Die Hard 2,Snakes on a Plane,Heat,Delta Force 2,Die Hard 2
What movie title was translated i Portugal as A Very Crazy Dead Man?,Weekend at Bernies,Weekend at Bernies,Kiss Kiss Bang Bang,Shaun of the Dead,Waking Ned
The 8th Passenger is Death is the Hungarian title of this movie.,Alien,Alien,The Sky Dragon,Broken Flowers,Taxi Driver
Popes have always been elected to their position by the College of Cardinals.,False,False,True,,
How many votes from the College of Cardinals does it take to declare a new Pope?,Two thirds of the votes plus one,Half of the votes plus one,Two thirds of the votes,Half of the votes,Two thirds of the votes plus one
What was the longest interregnum between popes?,Two years and 9 months,14 months,8 months,Two years and 9 months,Five years and 2 months
Can any baptized male be elected Pope?,Yes,Yes,No,,
White smoke has always been used to announce the choosing of a new pope.,False,False,True,,
All cardinals are appointed to their positions by a pope. Can they all vote for a new pope when the time comes?,No,No,Yes,,
Urban VII set a record for the shortest papacy. How many days was he in office?,12 days,184 days,33 days,102 days,12 days
"If you were elected pope, what would your chances of becoming a saint be?",1 out of 3,1 out of 10,1 out of 3,1 out of 6,1 out of 4
Why do popes wear white?,It was a fashion trend in 1566 brought on by the newly elected Pope Pius V.,It was a fashion trend in 1566 brought on by the newly elected Pope Pius V.,It symbolizes pure light.,It is easy to recognize him in a crowd.,It signifies that the pope will not get dirty.
Who was the first pope to change his name?,"Pope John II, formerly Mercury","Pope Innocent XIII, formerly Michaelangelo","Pope Pius III, formerly Francesco","Pope Sylvester II, formerly Gerbert","Pope John II, formerly Mercury"
"I made a pun in springtime. (Next sentence, please)",It was a May zing.,It was really winter,It was a May zing.,It was amazing.,It was stupid
Magicianâs assistants are _______________.,highly sawed after,insurance deficient,highly sought after,highly sawed after,dumb to say the least
"I dated a politician over the holidays but when I wrapped myself up as a present, he couldnt __________________.",cut through the red tape,understand what he was supposed to do since his aides were on vacation,get a committee organized to suggest a solution,tear himself away from his cell phone,cut through the red tape
I missed my miniature Indian musical instrument practice last night. I couldnt find a ___________.,baby sitar,taxi,small enough violin,baby sitar,baby sitter
Two coin collectors got together for _______________.,old dimes sake,old times sake,old dimes sake,quarter of an hour,pennies from heaven
When I found out that the fire department was charging $75.00 per table for their craft fair I told them _________________.,they could go to blazes,that it seemed steep to me,they could stick it where the sun dont shine,they could go to Hades,they could go to blazes
"I try wearing tight jeans, but I can __________________.",never pull it off,gain weight while they are on my body.,never pull it off,never relate to fashion,not stand anything that sticks out
I think Santa has riverfront property in Brazil. All our presents came from ____________.,Amazon this year,Deep in the Jungle,Ipanina,Amazon this year,Rio de Janeiro
