question,answer,A,B,C,D
"What Hollywood actor portrayed Casanova in the 2005 movie entitled Casanova, based on the life of the popular adventurer?",Heath Ledger,Johnny Depp,Antonio Banderas,Heath Ledger,Ryan Phillippe
Which of these is NOT a son of Adam and Eve?,Enoch,Enoch,Cain,Abel,Seth
Noah sent these two birds out of the ark to search for land:,raven and dove,raven and hawk,hawk and jay,raven and dove,dove and hawk
Jacob had 12 sons.  Which of his wives/maids bore the most babies?,Leah,Zilpah,Leah,Rachel,Bilhah
Which of these animals did the Israelites worship while Moses was on the mountain?,calf,bull,calf,duck,ram
Many of King Solomons wise sayings are recorded in Book 10 of Proverbs.  Which of these is NOT found there?,"When you see trouble coming, dont be stupid and walk right into it--be smart and hide.","When you see trouble coming, dont be stupid and walk right into it--be smart and hide.","Good people are remembered long after they are gone, but the wicked are soon forgotten.","Children with good sense make their parents happy, but foolish children make them sad.",You will say the wrong thing if you talk too much--so be sensible and watch what you say.
Mary was visited by this angel.,Gabriel,Uriel,Raphael,Gabriel,Michael
Jesus was fond of using parables to give his messages.  Which of these was NOT one he used?,The Parable of the Old Men and the Young,The Parable of the Mustard Seed,The Parable of the Old Men and the Young,The Parable of the Prodigal Son,The Parable of the Ten Servants
Which of the Horsemen of the Apocalypse is the first to be called out?,White Horse (Conquest ),Black Horse (Famine),Red Horse (War),White Horse (Conquest ),Pale/Green Horse (Death)
"Complete the following quote from Matthew 5:3: Blessed are the poor in spirit, for ________",theirs is the Kindgom of Heaven.,they shall be comforted.,shall be called children of God.,they shall see Heaven.,theirs is the Kindgom of Heaven.
Who wrote the first five books of the Bible?,Moses,Adam,Joseph,Moses,Abraham
"In the Bible, how many wives and concubines did Solomon have?",1000,2000,500,1000,100
Who wrote most of the books in the New Testament?,Paul,David,John,Peter,Paul
Who wrote the Book of Revelation while in exile?,John,Paul,Peter,James,John
"According to the accepted theory, how old was Jesus when He was crucified?",33,33,27,40,30
"How old was Jesus when He performed His first miracle (Biblical, not Apocriphal)?",30,40,33,27,30
"According to the New Testament, who obtained permission to take Jesus Christs body down from the cross and place it in the tomb?",Joseph of Arimathea,Joseph of Arimathea,Joseph of Antioch,Mary Magdalene,Apostle Peter
What was the profession of Luke the Apostle according to the New Testament?,Physician,Tax collector,Carpenter,Physician,Boat builder
Who committed the first murder in the Bible?,Cain,Cain,Solomon,Adam,Abel
Who was Gods son according to the Bible?,Jesus,John,Peter,Solomon,Jesus
What is the name of the angel that God sent to tell Mary she was to conceive Jesus?,Gabriel,Abraham,Gabriel,Michael,Peter
Who was Jesus earthly father according to the Bible?,Joseph,Solomon,Joseph,no one,David
Which of the following is not generally considered one of the seven deadly sins?,obfuscation,obfuscation,hatred,lust,envy
"According to Matthew and Luke, in what city was Jesus born?",Bethlehem,Jerusalem,Bethlehem,Babylon,Nazareth
"You drink the coffee and turn the cup upside down.  The reader predicts the future, deciphering various patterns formed inside the cup.",Tasseomancy,Hakata,Scrying,I Ching,Tasseomancy
This is a deck of 78 cards with pictures and inscriptions on them. They are divided into several suits and the person extracts cards that the reader interprets.,Tarot,Tarot,Cartopedy,Belote,Cledonism
"This method of divination uses air and water. The person covers their head with a cloth, fill a vase with water and expose it to the air.  They whisper a wish over the vase. If bubbles show on the water surface, this is considered a positive sign and the wish will probably come true.",Eromancy,Water scrying,Critomancy,Dowsing,Eromancy
"This method includes hexagrams which consist of six lines either solid or broken. Solid lines are considered strong and active, and broken lines stand for weak and acquiescent. These lines define the meaning of the hexagrams. Each hexagram has a different meaning. You determine your own hexagram by tossing 3 coins 3 times.",I Ching,Tarot,I Ching,Aura information,Astrology
"This method of divination uses a set of 24 alphabet letters that are usually carved on small tiles, so that the person could extract one of all 24 and to interpret its meaning. They were also carved and drawn building walls for protection.",Runes,Runes,Tarot,Palm reading,Shell scrying
"This is the careful screening of your palm, its shapes and lines in order to guess some events from the past and see events in the future.",Palmistry,Palmistry,Cledonism,Tasseomancy,Cartopedy
"This method uses climate conditions to predict the future. It was considered that climate is the attitude of gods towards men, and that each atmospheric event had its own meaning.",Aeromancy,Cephalomancy,Aeromancy,Graphology,Bibliomancy
"This method uses books for predicting ones future. The person should take a book, open to a random page and read a passage. Then he should interpret it.",Bibliomancy,Geomancy,Bibliomancy,Hydromancy,Chiromancy
"This way of divination uses onion sprouts. First a ritual is held in order to state what the divination is about. Then the onion sprouts are put on an altar. It is thought that onion sprouts can tell you about friends and relatives who are far away, give love advice and answer yes or no questions about the future.",Cromniomancy,Cromniomancy,Crystallomancy,Chirognomy,Cyclomancy
This method uses birds to predict the future. The divinator scatters grains and then he carefully observes the way the birds peck at the grain.,Alectryomancy,Austromancy,Captopromancy,Botanomancy,Alectryomancy
"In ancient times people thought that illnesses were caused by demons, possessing the soul of a person. So they cured those illnesses with exorcism. Exorcism is derived from the Greek word  exorkizein. What does this word mean?",To bind by oath,To kill the soul,To kill the ghost,To expel the demon,To bind by oath
"Ancient Babylonian priests were one of the first exorcists. They meant to destroy the evil spirit, possessing the victim, by performing this ritual.",They destroyed a wax or clay image of a demon.,They killed the possessed person by stabbing them with a sacrificial knife.,They destroyed a wax or clay image of a demon.,They drew mighty symbols on the forehead of the victim.,They drilled a hole in the skull of the possessed.
Jesus Christ is considered to be an exorcist. One of the legends tells of Jesus casting out multiple demons from a madman. The spirits then entered the bodies of some animals. What kind of animals were they?,Pigs,Vultures,Pigs,Crows,Cows
In Judaism the evil spirit that possesses the soul of its victim is called dybbuk. It is exorcised through this part of the body.,Small toe,Mouth,Chest,Small toe,Left Arm
The exorcist must feel as free of sin as possible. Why?,So demons cannot easily possess the exorcist,So the exorcist does not die,So the exorcist can easily absorb the demons,So demons cannot easily possess the exorcist,So the possessed victim does not die
Exorcism is related to ASC. What does ASC stand for?,Altered State Of Consciousness,Affecting Spirit of Cataclysm,Affected Soul by Craziness,Affected Soul by Cabala,Altered State Of Consciousness
"During Christian exorcism, the victim is to hold a crucifix and the exorcist is encouraged to use holy water and relics. These  two other objects should also be present.",Salt and Wine,Skull and Bones,Salt and Wine,Feather and Ink-pot,Sword and Shield
"Although all exorcisms proceed differently, some stages are common. There are five common stages - The Presence, Break-point, The Voice, The Clash and this.",Expulsion,Expatriation,Expulsion,Deportation,Redemption
"The magic wand is a must have accessory of every witch, if she wants to work wonders. What is the wand is made of?",Hazel,Glass,Metal,Chestnut,Hazel
"Every new witch receives a special craft name, which they only disclose to coven members and keep a secret from everyone else.  Why?",Knowing the craft name gives magical powers,It would bring ill fate upon the person,It would take away the magical powers of the coven,It would kill the person who knows the secret name,Knowing the craft name gives magical powers
Incense is often used in witchcraft.  What is the meaning of jasmine scented incense?,Luck in love,To ease hurt caused by love,Luck in love,True love,Intense desire
"This is one of the most widely used religious symbols. It is generally used for protection. Even though it is often associated with witchcraft, it was also used in Christianity, symbolizing the five wounds of Christ.",Pentagram,Hazel,Sword,Pentagram,Chalice
This is when the spell casting powers are at their fullest.  It is the hour of midnight on a full moon.,The Witching Hour,The Midnight Hour,The Power Hour,The Witching Hour,The Moon Hour
"It is  the magical power of this herb: In the event of some kind of troublesome misfortune, gather the root with care during the descent of the lions cub and hang it around your neck.  It will drive away cares and cause a merry heart. - Syrenius (1540 - 1611).",Angelica,Wormwood,Barberry,Betony,Angelica
"An ancient tradition was to distinguish witches by their color. There were white, red, green, etc. witches. The tradition doesnt exist any more but the meaning of the colors is still applied in various practices. What is the color for these magical uses: divination, spirituality, protection, psychic powers, healing, truth, peace?",White,Green,Pink,White,Yellow
When you collect flowers or herbs for magical purposes you should have in mind the hour at which you gather them. What are the magical hours?,"3, 6, 9 and 12","3, 6, 9 and 12","4, 6, 8 and 11","1, 7, 9 and 11","1, 4, 5 and 10"
This ancient pagan ritual was practiced in Scotland until the end of the 19th century. It allows a couple to make a commitment to each other within their own spiritual path. This commitment lasts for one year and a day. After that the couple can go their own way or renew their bond.,Handfasting,Handfasting,Faerie,Anam cara,A prayer of passage
"What is this spell used for?  Dear Father, tsar fire, be gentle and kind to me.  Burn away all my aches  pains, tears  worries.",Happiness,Love,Happiness,Wealth,Faith
"What is the Catholic term describing a place of purification after bodily death, but before the soul enters heaven?",purgatory,apocalypse,limbo,purgatory,apocrypha
"This part of the Catholic mass, in which the priest asks God to change the bread and wine into Jesus body and blood, is called what?",consecration,invocation,consecration,offertory,communion
What was the church council that revised the prayers used in the Catholic mass and authorized masses to be said in the language of the local people?,Vatican II,Nicea,Vatican II,Vatican I,Trent
"A schism in the Christian church culminated in two bishops excommunicating each other in 1054, resulting in what?",the division between Catholicism and Orthodoxy,the division between Catholicism and Orthodoxy,the Protestant Reformation,the ecumenical movement,the Crusades
